time,height
19.6,-0.430625855922699
19.63,-0.42800167202949524
19.67,-0.4267943501472473
19.7,-0.4274067282676697
19.73,-0.42879465222358704
19.77,-0.4331434965133667
19.8,-0.43516775965690613
19.83,-0.4415215253829956
19.87,-0.4542301297187805
19.9,-0.4622194170951843
19.93,-0.4620402753353119
19.97,-0.4621773958206177
20.0,-0.4713653326034546
20.03,-0.47395360469818115
20.07,-0.47350218892097473
20.1,-0.4729893207550049
20.13,-0.4682520627975464
20.17,-0.46568191051483154
20.2,-0.4578650891780853
20.23,-0.45130226016044617
20.27,-0.44829556345939636
20.3,-0.44431376457214355
20.33,-0.44460299611091614
20.37,-0.4422687888145447
20.4,-0.44087305665016174
20.43,-0.42936599254608154
20.47,-0.4178912043571472
20.5,-0.4203852713108063
20.53,-0.42203789949417114
20.57,-0.42178335785865784
20.6,-0.4221971929073334
20.63,-0.4225614368915558
20.67,-0.42156705260276794
20.7,-0.41701915860176086
20.73,-0.4143757224082947
20.77,-0.4144872725009918
20.8,-0.4137239456176758
20.83,-0.4115894138813019
20.87,-0.41172724962234497
20.9,-0.4149487614631653
20.93,-0.41437336802482605
20.97,-0.4132062792778015
21.0,-0.41028934717178345
21.03,-0.40810462832450867
21.07,-0.40803903341293335
21.1,-0.40608447790145874
21.13,-0.4058537781238556
21.17,-0.40594223141670227
21.2,-0.4086483120918274
21.23,-0.40893983840942383
21.27,-0.4086962640285492
21.3,-0.4075080156326294
21.33,-0.4073803424835205
21.37,-0.4067177176475525
21.4,-0.4066718816757202
21.43,-0.40789052844047546
21.47,-0.40892156958580017
21.5,-0.409132182598114
21.53,-0.4071895182132721
21.57,-0.40891483426094055
21.6,-0.41036325693130493
21.63,-0.4096353352069855
21.67,-0.40973860025405884
21.7,-0.4100649654865265
21.73,-0.4128324091434479
21.77,-0.4182383716106415
21.8,-0.4180619418621063
21.83,-0.41802334785461426
21.87,-0.4167936444282532
21.9,-0.41781437397003174
21.93,-0.41911977529525757
21.97,-0.41883087158203125
22.0,-0.4187728464603424
22.03,-0.4138314723968506
22.07,-0.40987738966941833
22.1,-0.40965545177459717
22.13,-0.4100453853607178
22.17,-0.4102208614349365
22.2,-0.41027718782424927
22.23,-0.4147803783416748
22.27,-0.41573163866996765
22.3,-0.41628140211105347
22.33,-0.4144383370876312
22.37,-0.4163946211338043
22.4,-0.41672444343566895
22.43,-0.4176943898200989
22.47,-0.42140671610832214
22.5,-0.4270857572555542
22.53,-0.43168729543685913
22.57,-0.43220487236976624
22.6,-0.42930248379707336
22.63,-0.42897340655326843
22.67,-0.42881256341934204
22.7,-0.42867499589920044
22.73,-0.4279398024082184
22.77,-0.4278290569782257
22.8,-0.42792537808418274
22.83,-0.4283764064311981
22.87,-0.4288453459739685
22.9,-0.42982834577560425
22.93,-0.4305051565170288
22.97,-0.4306508004665375
23.0,-0.4314672648906708
23.03,-0.4313143193721771
23.07,-0.43218258023262024
23.1,-0.4331095814704895
23.13,-0.4330952763557434
23.17,-0.43326640129089355
23.2,-0.43225663900375366
23.23,-0.4382116198539734
23.27,-0.43818941712379456
23.3,-0.43872541189193726
23.33,-0.4421004354953766
23.37,-0.4412280321121216
23.4,-0.43877625465393066
23.43,-0.43898677825927734
23.47,-0.4398404657840729
23.5,-0.4392889440059662
23.53,-0.4394281506538391
23.57,-0.4384843707084656
23.6,-0.4384237825870514
23.63,-0.4339853525161743
23.67,-0.4307069182395935
23.7,-0.42838531732559204
23.73,-0.42851924896240234
23.77,-0.42969152331352234
23.8,-0.43146973848342896
23.83,-0.4333244562149048
23.87,-0.43562039732933044
23.9,-0.436414897441864
23.93,-0.43722453713417053
23.97,-0.43757814168930054
24.0,-0.4373287260532379
24.03,-0.43647727370262146
24.07,-0.43582063913345337
24.1,-0.43477997183799744
24.13,-0.4343547224998474
24.17,-0.4345742166042328
24.2,-0.43497520685195923
24.23,-0.4345903694629669
24.27,-0.4313277304172516
24.3,-0.4291619062423706
24.33,-0.4264748990535736
24.37,-0.42446163296699524
24.4,-0.4243585765361786
24.43,-0.4239514172077179
24.47,-0.4238724708557129
24.5,-0.42339393496513367
24.53,-0.42283663153648376
24.57,-0.4227921962738037
24.6,-0.42388370633125305
24.63,-0.4259342849254608
24.67,-0.4259134531021118
24.7,-0.42606496810913086
24.73,-0.42606717348098755
24.77,-0.42627349495887756
24.8,-0.42630869150161743
24.83,-0.426285982131958
24.87,-0.42632853984832764
24.9,-0.4272613525390625
24.93,-0.4284414052963257
24.97,-0.43069544434547424
25.0,-0.43076735734939575
25.03,-0.43093374371528625
25.07,-0.4310271739959717
25.1,-0.4317907392978668
25.13,-0.4324488341808319
25.17,-0.43271130323410034
25.2,-0.43324193358421326
25.23,-0.43348169326782227
25.27,-0.4343911409378052
25.3,-0.4352632761001587
25.33,-0.43718382716178894
25.37,-0.4382559359073639
25.4,-0.43957585096359253
25.43,-0.44062891602516174
25.47,-0.4415164887905121
25.5,-0.4415600597858429
25.53,-0.4415035843849182
25.57,-0.4404887855052948
25.6,-0.44039106369018555
25.63,-0.4403795301914215
25.67,-0.4389267861843109
25.7,-0.4346163272857666
